source;source_id;official_code;name;address;postal_code;municipality;province;autonomous_region;ownership;education_levels;latitude;longitude;phone;email;website;last_source_update
andalucia;18000039;18000039;Instituto de Educación Secundaria Aricel;C/ Aricel, s/n;18220;Albolote;Granada;Andalucía;Público;ESO|Bachillerato|FP;37.228547275306326;-3.662019968032837;958893976;18000039.edu@juntadeandalucia.es;;
andalucia;18000040;18000040;Centro Docente Privado Ave María;C/ Jacobo Camarero, 3;18220;Albolote;Granada;Andalucía;Privado;Infantil|Primaria|ESO|FP|Educación Especial;37.22831446;-3.653483462;958466154;direccion@albolote.amgr.es;;
andalucia;18000052;18000052;Colegio de Educación Infantil y Primaria Tínar;C/ Tínar, s/n;18220;Albolote;Granada;Andalucía;Público;Infantil|Primaria|Educación Especial;37.22566409069296;-3.6548101902008057;958893984;18000052.edu@juntadeandalucia.es;;
andalucia;18000076;18000076;Colegio de Educación Infantil y Primaria San Isidro Labrador;C/ Acacias, s/n;18220;Albolote;Granada;Andalucía;Público;Infantil|Primaria;37.25617754101591;-3.6576586961746216;958894786;18000076.edu@juntadeandalucia.es;;
andalucia;18000088;18000088;Colegio de Educación Infantil y Primaria Infanta Cristina;C/ Sagasta, s/n;18708;Albondón;Granada;Andalucía;Público;Infantil|Primaria;36.82591289201589;-3.211773633956909;958654921;18000088.edu@juntadeandalucia.es;;
andalucia;18000155;18000155;Colegio de Educación Infantil y Primaria Natalio Rivas;Ctra. del Visillo, 8;18700;Albuñol;Granada;Andalucía;Público;Infantil|Primaria|Educación Especial;36.7918067636307;-3.20664534548949;958649574;18000155.edu@juntadeandalucia.es;;
andalucia;18000222;18000222;Centro Docente Privado Comunidad Sorda Andaluza;C/ Maracena, s/n;18230;Atarfe;Granada;Andalucía;Privado;Primaria|FP|Adultos;37.219530015691355;-3.685741424560547;958437071;red.lse@fundacionaccesible.org;;
andalucia;18000246;18000246;Colegio Público Rural Sened;C/ Escuelas, s/n;18518;Jerez del Marquesado;Granada;Andalucía;Público;Infantil|Primaria;37.18254413444353;-3.1609779596328735;958699995;18000246.edu@juntadeandalucia.es;;
andalucia;18000258;18000258;Colegio Público Rural Marquesado;Avda. Hubert Meersmans, s/n;18518;Alquife;Granada;Andalucía;Público;Infantil|Primaria;37.17859066666469;-3.10762882232666;958699500;18000258.edu@juntadeandalucia.es;;
andalucia;18000261;18000261;Colegio de Educación Infantil y Primaria Virgen del Mar;C/ Cerro, s/n;18760;Albuñol;Granada;Andalucía;Público;Infantil|Primaria|ESO;36.7500346169104;-3.1721413135528564;958654934;18000261.edu@juntadeandalucia.es;;
andalucia;18000271;18000271;Colegio de Educación Infantil y Primaria Ramón y Cajal;C/ Carretera, 16;18659;Albuñuelas;Granada;Andalucía;Público;Infantil|Primaria|ESO;36.92907538129418;-3.627285361289978;958779532;18000271.edu@juntadeandalucia.es;;
andalucia;18000313;18000313;Colegio de Educación Infantil y Primaria Las Encinas;Urb. Las Encinas, s/n;18170;Alfacar;Granada;Andalucía;Público;Infantil|Primaria;37.237934268;-3.569251777;958543352;18000313.edu@juntadeandalucia.es;;
andalucia;18000325;18000325;Colegio de Educación Infantil y Primaria Andrés Manjón;C/ Pedro Peña Letón, nº 4;18280;Algarinejo;Granada;Andalucía;Público;Infantil|Primaria|ESO|Educación Especial;37.325138843;-4.155671092;958338606;18000325.edu@juntadeandalucia.es;;
andalucia;18000337;18000337;Colegio Público Rural Zalabí;C/ de las Cruces, 27;18511;Valle del Zalabí;Granada;Andalucía;Público;Infantil|Primaria;37.179280462;-3.062858585;958699705;18000337.edu@juntadeandalucia.es;;
andalucia;18000362;18000362;Colegio de Educación Infantil y Primaria Conde de Tendilla;C/ Conde de Tendilla;18120;Alhama de Granada;Granada;Andalucía;Público;Infantil|Primaria;37.000615973;-3.9894186;958369532;18000362.edu@juntadeandalucia.es;;
