source;source_id;official_code;name;address;postal_code;municipality;province;autonomous_region;ownership;education_levels;latitude;longitude;phone;email;website;last_source_update
andalucia;04000018;04000018;Colegio de Educación Infantil y Primaria Joaquín Tena Sicilia;Paseo San Segundo,  7;04510;Abla;Almería;Andalucía;Público;Infantil|Primaria|ESO;37.1408963;-2.7796097000000372;950359901;04000018.edu@juntadeandalucia.es;;
andalucia;04000021;04000021;Colegio de Educación Infantil y Primaria Antonio Relaño;C/ Balsillas, 36;04520;Abrucena;Almería;Andalucía;Público;Infantil|Primaria|ESO|Educación Especial;37.134474010667084;-2.793031807236048;950359902;04000021.edu@juntadeandalucia.es;;
andalucia;04000079;04000079;Colegio de Educación Infantil y Primaria San Nicolás;C/ Zacatín, 39;04770;Adra;Almería;Andalucía;Público;Infantil|Primaria|Educación Especial;36.751273407131784;-3.018323234594277;950579833;04000079.edu@juntadeandalucia.es;;
andalucia;04000080;04000080;Colegio de Educación Infantil y Primaria San Fernando;C/ Tarrasa, 20;04770;Adra;Almería;Andalucía;Público;Infantil|Primaria|Educación Especial;36.74771782062413;-3.0174314975738525;950579877;04000080.edu@juntadeandalucia.es;;
andalucia;04000092;04000092;Colegio de Educación Infantil y Primaria Mare Nostrum;C/ Estero, s/n;04770;Adra;Almería;Andalucía;Público;Infantil|Primaria|Educación Especial;36.74720558201743;-3.0258990468101956;950579579;04000092.edu@juntadeandalucia.es;;
andalucia;04000110;04000110;Instituto de Educación Secundaria Abdera;C/ Marisma, 6;04770;Adra;Almería;Andalucía;Público;ESO|Bachillerato|FP|Adultos;36.74694128175689;-3.024834378529704;950400711;04000110.edu@juntadeandalucia.es;;
andalucia;04000122;04000122;Instituto de Educación Secundaria San Isidro;Bda. Paraje el Cerrillo, s/n;04117;Níjar;Almería;Andalucía;Público;ESO|FP|Educación Especial;36.909359941528336;-2.1664631366729736;950156900;04000122.edu@juntadeandalucia.es;;
andalucia;04000134;04000134;Instituto de Educación Secundaria Gaviota;C/ Estero, 4;04770;Adra;Almería;Andalucía;Público;ESO|Bachillerato|FP;36.746195563608;-3.025990604138542;950579614;04000134.edu@juntadeandalucia.es;;
andalucia;04000146;04000146;Centro Docente Privado Ciudad de Almería;C/ Padre Méndez, 46;04006;Almería;Almería;Andalucía;Privado;Infantil|Primaria;36.83938270663643;-2.4511991313761427;950269814;ciudalm@aces-andalucia.org;;
andalucia;04000213;04000213;Colegio de Educación Infantil y Primaria Velázquez;C/ Buenavista, s/n;04800;Albox;Almería;Andalucía;Público;Infantil|Primaria|Educación Especial;37.39228880892371;-2.1414756774902343;950639913;04000213.edu@juntadeandalucia.es;;
andalucia;04000225;04000225;Colegio de Educación Infantil y Primaria Virgen del Saliente;Pago Aljara, s/n;04800;Albox;Almería;Andalucía;Público;Infantil|Primaria;37.39191375105401;-2.1451663970947266;950639544;04000225.edu@juntadeandalucia.es;;
andalucia;04000250;04000250;Instituto de Educación Secundaria Cardenal Cisneros;Avda. de América, s/n;04800;Albox;Almería;Andalucía;Público;ESO|Bachillerato|FP;37.384135295;-2.141230226;950639900;04000250.edu@juntadeandalucia.es;;
andalucia;04000262;04000262;Centro de Educación Infantil Casa de Colores;Ctra. de los Parrales, s/n;04720;Roquetas de Mar;Almería;Andalucía;Privado;Infantil|Primaria;36.794708;-2.595602;649860898;artebel.19@gmail.com;;
andalucia;04000331;04000331;Instituto de Educación Secundaria El Parador;C/ Eduardo Fajardo, 50;04721;Roquetas de Mar;Almería;Andalucía;Público;ESO|Bachillerato;36.800854333377416;-2.598440029375979;950156850;04000331.edu@juntadeandalucia.es;;
andalucia;04000341;04000341;Instituto de Educación Secundaria Las Marinas;C/ Coimbra, 1;04740;Roquetas de Mar;Almería;Andalucía;Público;ESO|Bachillerato|FP|Educación Especial;36.72806570062084;-2.6394030853681442;671530647;04000341.edu@juntadeandalucia.es;;
andalucia;04000365;04000365;Colegio de Educación Infantil y Primaria Juan XXIII;C/ Calvario, 1;04567;Alhabia;Almería;Andalucía;Público;Infantil|Primaria|ESO;36.990659749163676;-2.5874311604768536;950156857;04000365.edu@juntadeandalucia.es;;
